Customer_Reviews,Cleaned_Reviews,Sentiment_score,Sentiment
"

  Very slim ,light weight easily carry in traveling.Good battery time.....Min 5hrsFor office use best one.

",slim light weight easily carry travelinggood battery time min 5hrsfor office use best one,0.765,positive
"

  I bought this exchanging my Acer Aspire V5 intel i3 laptop since Pentium Gold processor is almost same, except for lesser L3 cache memory (3 MB to 2 MB).There is absolutely no heating or any other issues due to SSD. This fits my requirement of day to day browsing, reading, videos etc.  Very good laptop for this price.Good price for old laptop & card discount from ICICI due to Diwali sale.

",buy exchange acer aspire v5 intel i3 laptop since pentium gold processor almost except less l3 cache memory 3 mb 2 mb there absolutely no heating issue due ssd fit requirement day day browse read videos etc good laptop pricegood price old laptop card discount icici due diwali sale,0.4417,positive
"

  initial impression is excellent...light weight,thin,travel friendly.Super fast booting,due to ssd. hop this laptop last long.lets see what happen due to corse of time.

",initial impression excellent light weight thin travel friendlysuper fast booting due ssd hop laptop last longlet us see happen due corse time,0.6808,positive
"

  I am a Computer Technician, and i have purchased and configured 5 of these. 2 were purchased from Amazon.Key Points.1) Initial Setup takes around 40 minutes but after that2) LAPTOP BOOTS IN LESS THAN 10 SECONDS (5 seconds frankly)Yes this laptop is Super FAST, because of its m.2 ssd.3) Clients with 3rd and 4th generation Core i5 laptops with 8 GB Rams couldnt spot the Difference in speeds. You are basically comparing a 45000rs - 65000rs year 2015 Laptops with a 2020, 30000rs. Which is just 2 core 2mb cache. Still is fast.. Thank you m.24) Recomended for people who want a Blazing fast laptop for Surfing, working on Excel, word.This laptop has1) License Lifetime Original Windows2) License for 1 year Microsoft Office student edition (word excel one note)3) has a 250 GB m.2 SSD Storage. (BLAZING FAST)4) Single Slot 4 GB Ram (If you want to upgrade to 16 GB.. its going to be a Difficult Turn)Word of Advice.1) IF you work simultaeously on Multiple Softwares. like 6 -  10 Excel sheets or heavy programmes like Adobe, then you may consider skipping this laptop as the RAM is just 4 gb2) Only Intel graphics but Old adobe and basic 3d softwares below 2018 works.Its a Value for Money. I am waiting for Competition like DELL and LENOVO to launch their varients so prices will drop. in 2 years.

",computer technician purchase configured 5 these 2 purchase amazonkey points1 initial setup take around 40 minute that2 laptop boot less 10 second 5 second frankly yes laptop super fast m2 ssd3 client 3rd 4th generation core i5 laptops 8 gb ram could not spot difference speed basically compare 45000rs 65000rs year 2015 laptop 2020 30000rs 2 core 2mb cache still fast thank m24 recomended people want blaze fast laptop surf work excel wordthis laptop has1 license lifetime original windows2 license 1 year microsoft office student edition word excel one note 3 250 gb m2 ssd storage blaze fast 4 single slot 4 gb ram want upgrade 16 gb go difficult turn word advice1 work simultaeously multiple software like 6 10 excel sheet heavy programme like adobe may consider skip laptop ram 4 gb2 intel graphic old adobe basic 3d software 2018 worksits value money wait competition like dell lenovo launch varients price drop 2 year,0.9758,positive
"

  I am writing this review after using the laptop for one month.1) The MS office 2019 is original , just activate when you recieve it by login into your microsoft account. If you don't have a microsoft account create it.2) The laptop boots in just 3 to 4 second. It is very fast on SSD.3) The shutdown also takes just 3 second, thus you save your valuable time.4) The processing is also very reasonable and good at this price.5) It work for about 7 hour in one charge.6) Autocad 2017 is working fine on it.7) Overall the performance of the laptop is very good.One can buy it without any doubts.

",write review use laptop one month1 m office 2019 original activate recieve login microsoft account microsoft account create it2 laptop boot 3 4 second fast ssd3 shutdown also take 3 second thus save valuable time4 processing also reasonable good price5 work 7 hour one charge6 autocad 2017 work fine it7 overall performance laptop goodone buy without doubt,0.9383,positive
"

  Worst service from Amazon and the seller. After buying this laptop I found that it's not suitable for running Android studio and I wanted to return it to get a higher configuration laptop but to my surprise I can't return it, the very next day. I was in the impression that we can return any item on Amazon but that was my biggest mistake and I lost 25k. This laptop is useless for me. Not happy at all.

",bad service amazon seller buying laptop find not suitable run android studio want return get high configuration laptop surprise return next day impression return item amazon big mistake lose 25k laptop useless me not happy,-0.827,negative
"

  It's Amazing! I have never ever thought the SSD can be so fast that the Windows will boot In just 5 seconds!I Really Loved the HP Laptop with Windows 10 Home + Office 2019 Students already included lifetime.The only reason for choosing this Laptop over the One with Ryzen A9 APU available on other ecommerce site, & choosing the Pentium 4417U is that, it's faster than the Ryzen.I really love this lightweight laptop & it's compactness makes it worth.This laptop is really great if you want windows office and a powerful processor with SSD in this segment of upto ₹28,000 /-

",amaze never ever think ssd fast window boot 5 second really love hp laptop window 10 home office 2019 student already include lifetimethe reason choose laptop one ryzen a9 apu available ecommerce site choose pentium 4417u faster ryzeni really love lightweight laptop compactness make worththis laptop really great want windows office powerful processor ssd segment upto Rs 28000,0.9693,positive
"

  Sound problem

",sound problem,-0.4019,negative
"

  This is very bad product from Amazon there is no bill and window is local . it hangs full time I want a complete solution regarding this

",bad product amazon no bill window local hang full time want complete solution regard,-0.34,negative
"

  Purchased this laptop on 29th October 2019.Writing a review after almost 1 year of usage. To start with this laptop is very quick to start when powered on, hardly takes 5 seconds to start up.Great for those with basic requirements like daily surfing, Watching movies, MS office, Excel, Powerpoint and basic editing tasks. Due to SSD it works like charm.Pros- SSD makes it pretty fast with 5-7 seconds boot and start time. (I checked higher end models in shops but could not find one that starts as quickly this)- Light weight, this is pretty light and easy to carry, my earlier samsung laptop used to weigh almost 2 kgs and this slim trim piece comes as a delight to me in terms of weight.- Great battery life, haven't found any problems with battery life till now. It works 6-8 hours on a single charge easily. For me it is on almost for the entire day and it still works great.- Great volume, I am yet to see a laptop with so crystal clear sound. Most laptops have very low volume.- Got windows 10 and MS office students version license with it which is great add-on at this price point. (many higher priced laptops also don't provide this).Cons- Well almost none for me considering my requirements but you can find difficulties with viewing angles and screen resolution while watching movies, but I have no complains for it at this price point.ConclusionA great value for money laptop at this price point, After one year I can say that I am pretty happy with the purchase.

",purchase laptop 29th october 2019writing review almost 1 year usage start laptop quick start power hardly take 5 second start upgreat basic requirement like daily surf watch movie m office excel powerpoint basic edit task due ssd work like charmpros ssd make pretty fast 57 second boot start time check high end model shop could not find one start quickly light weight pretty light easy carry earlier samsung laptop use weigh almost 2 kgs slim trim piece come delight term weight great battery life find problem battery life till now work 68 hour single charge easily almost entire day still work great great volume yet see laptop crystal clear sound laptop low volume get window 10 ms office student version license great addon price point many high price laptop also provide con well almost none consider requirement find difficulty view angle screen resolution watch movie no complains price pointconclusiona great value money laptop price point one year say pretty happy purchase,0.9946,positive
"

  Very slim ,light weight easily carry in traveling.Good battery time.....Min 5hrsFor office use best one.

",slim light weight easily carry travelinggood battery time min 5hrsfor office use best one,0.765,positive
"

  I bought this exchanging my Acer Aspire V5 intel i3 laptop since Pentium Gold processor is almost same, except for lesser L3 cache memory (3 MB to 2 MB).There is absolutely no heating or any other issues due to SSD. This fits my requirement of day to day browsing, reading, videos etc.  Very good laptop for this price.Good price for old laptop & card discount from ICICI due to Diwali sale.

",buy exchange acer aspire v5 intel i3 laptop since pentium gold processor almost except less l3 cache memory 3 mb 2 mb there absolutely no heating issue due ssd fit requirement day day browse read videos etc good laptop pricegood price old laptop card discount icici due diwali sale,0.4417,positive
"

  initial impression is excellent...light weight,thin,travel friendly.Super fast booting,due to ssd. hop this laptop last long.lets see what happen due to corse of time.

",initial impression excellent light weight thin travel friendlysuper fast booting due ssd hop laptop last longlet us see happen due corse time,0.6808,positive
